Power [dBm],HDOP,VDOP,TDOP,Mlat,Mlong,Mheight,Mx,My,Mz,Slat,Slong,Sheight,Sx,Sy,Sz
None,0.92,1.23,0.76,56.97901,7.45939,186.9505,2846221.89,2198652.4,5249972.86,0.009805,0.009714,0.492588,0.242147,0.146237,0.532235
-70,0.92,1.22,0.75,56.96076,7.45111,186.81654,2846222.12,2198652.4,5249972.57,0.01453,0.011455,0.44145,0.427918,0.323298,0.386104
-60,0.92,1.22,0.75,56.96261,7.47454,185.00359,2846221.03,2198652.07,5249971.1,0.020371,0.012381,1.855955,0.585846,0.381525,1.84373
-50,0.92,1.21,0.74,56.90124,7.48004,185.05259,2846222.23,2198653.12,5249971.08,0.031872,0.016968,0.79546,0.823569,0.708136,0.715694
-40,0.87,1.18,0.69,56.90174,7.44969,183.14703,2846221.7,2198652.04,5249968.51,0.02017,0.034547,1.109534,0.64686,0.950552,0.772616
-30,1.05,1.3,0.8,56.85496,7.45955,180.01612,2846221.14,2198651.83,5249965.11,0.068776,0.049894,3.70037,1.0052134,0.994748,4.108249
-25,0.98,1.4,0.81,57.12375,7.32202,191.86246,2846222.44,2198649.81,5249979.58,0.214107,0.378949,10.965878,1.721896,7.79122,12.003826
-20,1,0.85,0.57,57.14634,6.91114,199.33759,2846229.7,2198646.36,524986.15,0.445217,0.928621,20.42421,21.843937,10.764584,16.610144
-17.5,2.06,0.97,1.28,56.93873,6.65429,213.17849,2846242.8,2198650.82,5249993.98,0.65893,1.122473,11.533937,21.866999,14.56389,15.529126
-15,2.52,0.93,1.05,55.02006,6.05961,150.04669,2846259.85,2198650.89,5249908.4,2.90229,2.27661,29.177023,53.243439,60.4552,63.21381
